市区町村コード,都道府県,名称（空白なし）,名称,人口　平成27年,人口　平成22年（組替）,平成22年〜27年の人口増減数,平成22年〜27年の人口増減率（％）,面積（km2）,人口密度（1km2当たり）,世帯数　平成27年,世帯数　平成22年（組替）,平成22年〜27年の世帯増減数,平成22年〜27年の世帯増減率（％）
27321,大阪府,豊能町,豊能町,19941,21989,-2048,-9.3137477830,34.34,580.7,7694,7871,-177,-2.2487612756
27322,大阪府,能勢町,能勢町,10258,11650,-1392,-11.9484978541,98.75,103.9,3672,3853,-181,-4.6976382040
27340,大阪府,泉北郡,泉北郡,17297,18149,-852,-4.6944735247,3.97,4356.9,6662,6744,-82,-1.2158956109
27341,大阪府,忠岡町,忠岡町,17297,18149,-852,-4.6944735247,3.97,4356.9,6662,6744,-82,-1.2158956109
27360,大阪府,泉南郡,泉南郡,68832,70685,-1853,-2.6214897079,72.03,955.6,26843,25689,1154,4.4921951030
27361,大阪府,熊取町,熊取町,44466,45096,-630,-1.3970196913,17.24,2579.2,16688,15775,913,5.7876386688
27362,大阪府,田尻町,田尻町,8419,8085,334,4.1311069882,5.62,1498.0,3761,3255,506,15.5453149002
27366,大阪府,岬町,岬町,15947,17504,-1557,-8.8951096892,49.18,324.3,6394,6659,-265,-3.9795765130
27380,大阪府,南河内郡,南河内郡,35308,37275,-1967,-5.2769953052,76.72,460.2,13189,13395,-206,-1.5378872714
27381,大阪府,太子町,太子町,13739,14220,-481,-3.3825597750,14.17,969.6,5060,4881,179,3.6672812948
27382,大阪府,河南町,河南町,16191,17040,-849,-4.9823943662,25.26,641.0,6105,6426,-321,-4.9953314659
27383,大阪府,千早赤阪村,千早赤阪村,5378,6015,-637,-10.5901911887,37.30,144.2,2024,2088,-64,-3.0651340996
28101,兵庫県,神戸市東灘区,神戸市 東灘区,213727,210408,3319,1.5774115053,34.02,6282.4,97147,94039,3108,3.3050117504
28102,兵庫県,神戸市灘区,神戸市 灘区,136130,133451,2679,2.0074784003,32.66,4168.1,67356,65178,2178,3.3416183375
28105,兵庫県,神戸市兵庫区,神戸市 兵庫区,106983,108304,-1321,-1.2197148766,14.68,7287.7,57810,56954,856,1.5029673069
28106,兵庫県,神戸市長田区,神戸市 長田区,97952,101624,-3672,-3.6133196883,11.36,8622.5,48722,48224,498,1.0326808228
28107,兵庫県,神戸市須磨区,神戸市 須磨区,162533,167475,-4942,-2.9508881923,28.93,5618.1,73295,71657,1638,2.2858897247
28108,兵庫県,神戸市垂水区,神戸市 垂水区,219554,220411,-857,-0.3888190698,28.11,7810.5,95512,94016,1496,1.5912185160
28109,兵庫県,神戸市北区,神戸市 北区,219868,226836,-6968,-3.0718228147,240.29,915.0,87233,86350,883,1.0225825130
