市区町村コード,都道府県,名称（空白なし）,名称,人口　平成27年,人口　平成22年（組替）,平成22年〜27年の人口増減数,平成22年〜27年の人口増減率（％）,面積（km2）,人口密度（1km2当たり）,世帯数　平成27年,世帯数　平成22年（組替）,平成22年〜27年の世帯増減数,平成22年〜27年の世帯増減率（％）
05209,秋田県,鹿角市,鹿角市,32057,34473,-2416,-7.0083833725,707.52,45.3,11509,11863,-354,-2.9840681109
05210,秋田県,由利本荘市,由利本荘市,79993,85229,-5236,-6.1434488261,1209.60,66.1,28347,28648,-301,-1.0506841664
05211,秋田県,潟上市,潟上市,33098,34442,-1344,-3.9022124151,97.73,338.7,12023,11936,87,0.7288873995
05212,秋田県,大仙市,大仙市,82773,88301,-5528,-6.2604047519,866.77,95.5,28195,28354,-159,-0.5607674402
05213,秋田県,北秋田市,北秋田市,33230,36387,-3157,-8.6761755572,1152.76,28.8,12223,12837,-614,-4.7830489990
05214,秋田県,にかほ市,にかほ市,25330,27544,-2214,-8.0380482138,241.13,105.0,8804,9203,-399,-4.3355427578
05215,秋田県,仙北市,仙北市,27530,29568,-2038,-6.8925865801,1093.56,25.2,9585,9859,-274,-2.7791865301
05300,秋田県,鹿角郡,鹿角郡,5342,6054,-712,-11.7608192930,201.70,26.5,2168,2390,-222,-9.2887029289
05303,秋田県,小坂町,小坂町,5342,6054,-712,-11.7608192930,201.70,26.5,2168,2390,-222,-9.2887029289
05320,秋田県,北秋田郡,北秋田郡,2375,2727,-352,-12.9079574624,256.72,9.3,919,1008,-89,-8.8293650794
05327,秋田県,上小阿仁村,上小阿仁村,2375,2727,-352,-12.9079574624,256.72,9.3,919,1008,-89,-8.8293650794
05340,秋田県,山本郡,山本郡,27742,30944,-3202,-10.3477249224,764.26,36.3,9929,10486,-557,-5.3118443639
05346,秋田県,藤里町,藤里町,3360,3848,-488,-12.6819126819,282.13,11.9,1215,1322,-107,-8.0937972769
05348,秋田県,三種町,三種町,17077,18876,-1799,-9.5306208943,247.98,68.9,6008,6294,-286,-4.5440101684
05349,秋田県,八峰町,八峰町,7305,8220,-915,-11.1313868613,234.14,31.2,2706,2870,-164,-5.7142857143
05360,秋田県,南秋田郡,南秋田郡,23655,25850,-2195,-8.4912959381,449.97,52.6,8150,8444,-294,-3.4817621980
05361,秋田県,五城目町,五城目町,9481,10516,-1035,-9.8421453024,214.92,44.1,3574,3733,-159,-4.2593088669
05363,秋田県,八郎潟町,八郎潟町,6079,6623,-544,-8.2138003926,17.00,357.6,2216,2303,-87,-3.7776812853
05366,秋田県,井川町,井川町,4987,5493,-506,-9.2117240124,47.95,104.0,1563,1604,-41,-2.5561097257
05368,秋田県,大潟村,大潟村,3108,3218,-110,-3.4182722188,170.11,18.3,797,804,-7,-0.8706467662
05420,秋田県,仙北郡,仙北郡,20280,21674,-1394,-6.4316692812,168.34,120.5,6152,6291,-139,-2.2095056430
05434,秋田県,美郷町,美郷町,20280,21674,-1394,-6.4316692812,168.34,120.5,6152,6291,-139,-2.2095056430
05460,秋田県,雄勝郡,雄勝郡,17932,19664,-1732,-8.8079739626,434.46,41.3,5616,5841,-225,-3.8520801233
05463,秋田県,羽後町,羽後町,15321,16792,-1471,-8.7601238685,230.78,66.4,4807,4966,-159,-3.2017720499
05464,秋田県,東成瀬村,東成瀬村,2611,2872,-261,-9.0877437326,203.69,12.8,809,875,-66,-7.5428571429
06201,山形県,山形市,山形市,252453,254244,-1791,-0.7044414027,381.30,662.1,100669,96560,4109,4.2553852527
06202,山形県,米沢市,米沢市,86010,89401,-3391,-3.7930224494,548.51,156.8,32991,33013,-22,-0.0666404144
06203,山形県,鶴岡市,鶴岡市,129630,136623,-6993,-5.1184646802,1311.53,98.8,45332,45514,-182,-0.3998769609
06204,山形県,酒田市,酒田市,106267,111151,-4884,-4.3940225459,602.97,176.2,39308,38955,353,0.9061737903
06205,山形県,新庄市,新庄市,36904,38850,-1946,-5.0090090090,222.85,165.6,12976,12980,-4,-0.0308166410
06206,山形県,寒河江市,寒河江市,41266,42373,-1107,-2.6125126850,139.03,296.8,13073,12717,356,2.7994023748
06207,山形県,上山市,上山市,31584,33836,-2252,-6.6556330536,240.93,131.1,10724,10751,-27,-0.2511394289
06208,山形県,村山市,村山市,24696,26811,-2115,-7.8885532058,196.98,125.4,7712,7865,-153,-1.9453273999
06209,山形県,長井市,長井市,27716,29473,-1757,-5.9613883894,214.67,129.1,9114,9269,-155,-1.6722408027
06210,山形県,天童市,天童市,62236,62214,22,0.0353618157,113.01,550.7,21448,20404,1044,5.1166437953
06211,山形県,東根市,東根市,47865,46414,1451,3.1262119188,206.94,231.3,15487,14388,1099,7.6383097025
06212,山形県,尾花沢市,尾花沢市,16962,18955,-1993,-10.5143761540,372.53,45.5,5109,5332,-223,-4.1822955739
06213,山形県,南陽市,南陽市,32284,33658,-1374,-4.0822389922,160.52,201.1,10697,10567,130,1.2302451027
06300,山形県,東村山郡,東村山郡,25738,27154,-1416,-5.2147013331,92.60,277.9,7904,7842,62,0.7906146391
06301,山形県,山辺町,山辺町,14372,15139,-767,-5.0663848339,61.45,233.9,4438,4419,19,0.4299615298
06302,山形県,中山町,中山町,11366,12015,-649,-5.4015813566,31.15,364.9,3466,3423,43,1.2562080047
06320,山形県,西村山郡,西村山郡,40286,43312,-3026,-6.9865164389,796.53,50.6,12521,12595,-74,-0.5875347360
06321,山形県,河北町,河北町,19046,19959,-913,-4.5743774738,52.45,363.1,5868,5740,128,2.2299651568
06322,山形県,西川町,西川町,5640,6270,-630,-10.0478468900,393.19,14.3,1779,1853,-74,-3.9935240151
06323,山形県,朝日町,朝日町,7122,7856,-734,-9.3431771894,196.81,36.2,2243,2311,-68,-2.9424491562
06324,山形県,大江町,大江町,8478,9227,-749,-8.1174813049,154.08,55.0,2631,2691,-60,-2.2296544036
06340,山形県,北村山郡,北村山郡,7359,8160,-801,-9.8161764706,79.54,92.5,2143,2227,-84,-3.7718904356
06341,山形県,大石田町,大石田町,7359,8160,-801,-9.8161764706,79.54,92.5,2143,2227,-84,-3.7718904356
06360,山形県,最上郡,最上郡,41005,45469,-4464,-9.8176779784,1580.38,25.9,12109,12546,-437,-3.4831818906
06361,山形県,金山町,金山町,5829,6365,-536,-8.4210526316,161.67,36.1,1643,1703,-60,-3.5231943629
06362,山形県,最上町,最上町,8908,9847,-939,-9.5358992587,330.37,27.0,2674,2764,-90,-3.2561505065
06363,山形県,舟形町,舟形町,5631,6164,-533,-8.6469824789,119.04,47.3,1620,1652,-32,-1.9370460048
06364,山形県,真室川町,真室川町,8136,9165,-1029,-11.2274959083,374.22,21.7,2520,2631,-111,-4.2189281642
06365,山形県,大蔵村,大蔵村,3413,3762,-349,-9.2769803296,211.63,16.1,1017,1045,-28,-2.6794258373
06366,山形県,鮭川村,鮭川村,4315,4862,-547,-11.2505141917,122.14,35.3,1246,1300,-54,-4.1538461538
